body,title,url
"El saltador británico comparte su vida con su marido desde hace cuatro años, el productor y guionista Dustin Lance Black, con quien tiene un hijo de tres ",Tom Daley: un campeón olímpico abiertamente gay que domina las redes y adora tricotar  ,https://elpais.com/gente/2021-07-28/tom-daley-el-triunfo-de-la-excepcionalidad.html
"En un informe detallado sobre las protestas en Cali, la ONG documenta episodios de “paramilitarismo urbano” y cree que la presencia de militares preparados para la guerra en las calles avivó las protestas","La policía siguió un “patrón violento” en las protestas de Colombia, según Amnistía Internacional",https://elpais.com/internacional/2021-07-30/la-policia-siguio-un-patron-violento-en-las-protestas-de-colombia-segun-amnistia-internacional.html
La vida de la localidad francesa podría dividirse en un antes y un después de que la actriz rodará allí ’Y Dios creó a la mujer”. La riqueza ostentosa de una parte de sus visitantes ha convertido este enclave en el destino favorito de la ‘jet-set’ y curiosos atraídos por su leyenda.,"Saint-Tropez, el paraíso de Brigitte Bardot",https://elpais.com/eps/2021-07-30/saint-tropez-el-paraiso-de-brigitte-bardot.html
"El biólogo español Manuel Talón ha rastreado el origen de los cítricos en las estribaciones de los Himalayas, en busca de los grandes acontecimientos que dieron lugar a las frutas actuales",La mutación que cambió la historia de las mandarinas,https://elpais.com/ciencia/2021-07-28/la-mutacion-que-cambio-la-historia-de-las-mandarinas.html
"El líder de la selección sufre otro cambio de destino en mitad de los Juegos y el canterano madridista se convertirá en el 18º español en jugar en la NBA. Santi Aldama, a los Grizzlies también en primera ronda","Ricky Rubio, traspasado a los Cavaliers; y Usman Garuba, elegido por los Rockets en el puesto 23 del ‘draft’",https://elpais.com/deportes/2021-07-30/ricky-rubio-traspasado-a-los-cleveland-cavaliers-y-usman-garuba-elegido-por-los-houston-rockets-en-el-puesto-23-del-draft.html
"Los golpes políticos de hoy no empiezan con tanques en la calle, sino violando el lenguaje",Cómo nacen las dictaduras,https://elpais.com/opinion/2021-07-29/como-nacen-las-dictaduras.html
El Tribunal General de la UE revoca la decisión provisional que adoptó el pasado 2 de junio,La justicia europea deja sin inmunidad parlamentaria a Puigdemont porque no ve riesgo de que sea detenido,https://elpais.com/espana/2021-07-30/la-justicia-europea-retira-la-inmunidad-a-carles-puigdemont.html
Los ecos del incidente entre Hamilton y Verstappen en Silverstone avivan un cruce frontal de acusaciones entre los dos equipos,"Mercedes y Red Bull, a machetazo limpio",https://elpais.com/deportes/2021-07-30/mercedes-y-red-bull-a-machetazo-limpio.html
"Los servicios de inteligencia de las potencias vigilan con inquietud a ‘hackers’ que atacan tanto infraestructuras de naciones rivales como comercios pequeños. EE UU, la UE y Reino Unido acaban de señalar a China por la ola global de ciberataques. ¿Tiene freno la deriva hacia una ‘ciberguerra fría’?",La última ola de ataques nos acerca a la ‘ciberguerra fría’,https://elpais.com/ideas/2021-07-25/la-ultima-ola-de-ataques-nos-acerca-a-la-ciberguerra-fria.html
"Con 3.900 millones de usuarios en el mundo, el correo electrónico de Google sigue ocupando un espacio respetado y privilegiado en el Olimpo de las plataformas",Cómo aprovechar mejor Gmail y cuáles son sus alternativas ,https://elpais.com/tecnologia/2021-07-30/como-aprovechar-mejor-el-gmail-y-cuales-son-sus-mejores-alternativas.html
Javier Moreno continuará vinculado al proyecto y Aimar Bretos asumirá la dirección de ‘Hora 25’,"Pepa Bueno, nueva directora de EL PAÍS",https://elpais.com/comunicacion/2021-07-27/pepa-bueno-nueva-directora-de-el-pais.html
La defensa insiste en que no hay pruebas directas de que la cantante fuera residente fiscal en España desde 2012,Shakira recurre para evitar el juicio y alega que no tiene “deudas” con Hacienda,https://elpais.com/espana/catalunya/2021-07-30/shakira-recurre-para-evitar-el-juicio-y-alega-que-no-tiene-deudas-con-hacienda.html
"En la costa atlántica de Senegal, la histórica Saint Louis está desapareciendo bajo el mar. El cambio climático, la erosión y la acción humana ayudan al agua salada a engullir viviendas, mezquitas y escuelas",Así se ahoga una ciudad ,https://elpais.com/planeta-futuro/2021-07-27/asi-se-ahoga-una-ciudad-pesquera.html
Dicen los almanaques que el escritor cumple hoy diez años de haberse esfumado como los relatos que contaba extendiendo los dedos de la mano izquierda,Eliseo Alberto de Diego: una década al vuelo,https://elpais.com/mexico/opinion/2021-07-30/eliseo-alberto-de-diego-una-decada-al-vuelo.html
"Esta nueva ronda de castigos, por las que también se penaliza a la Policía Nacional como entidad, es la segunda tras  las inéditas movilizaciones del 11 de julio en Cuba",Biden sanciona a dos altos cargos de la policía cubana por la represión en las protestas,https://elpais.com/internacional/2021-07-30/biden-sanciona-a-dos-altos-cargos-de-la-policia-cubana-por-la-represion-en-las-protestas.html
"La estrella edita su segundo disco, ‘Happier Than Ever’, con dos retos: conectar de nuevo con las inquietudes de la generación Z y saber gestionar la atosigante fama ",Billie Eilish ya no está tan deprimida,https://elpais.com/cultura/2021-07-30/billie-eilish-ya-no-esta-tan-deprimida.html
Fátima Gálvez y Alberto Fernández no consiguieron medalla en las competiciones individuales pero tienen una nueva oportunidad en la nueva modalidad de trap mixto,Vídeo | El dúo mixto de tiradores españoles que busca la revancha este sábado en Tokio,https://elpais.com/videos/2021-07-30/video-el-duo-mixto-de-tiradores-espanoles-que-busca-la-revancha-este-sabado-en-tokio.html
El clásico de Danny Boyle cumple un cuarto de siglo con la publicación de una nueva novela de Irvine Welsh ambientada en el mismo universo y un discurso que mantiene intacta su vocación generacional ,“Aglutinó muchos barrios del mundo y muchos momentos sociales”: el legado eterno de ‘Trainspotting’ ,https://elpais.com/icon/cultura/2021-07-30/aglutino-muchos-barrios-del-mundo-y-muchos-momentos-sociales-el-legado-eterno-de-trainspotting.html
"El Gobierno de Iván Duque les hará un acompañamiento con 250 soldados para que regresen a la zona rural del municipio de Ituango, de donde huyeron hace una semana",Colombia: 4.000 campesinos desplazados por grupos armados retornan entre el temor y la necesidad,https://elpais.com/internacional/2021-07-29/colombia-4000-campesinos-desplazados-por-grupos-armados-retornan-entre-el-temor-y-la-necesidad.html
"Aunque se impulse la eficiencia energética y el autoconsumo, es imprescindible recurrir a las plantas fotovoltaicas","El neonegacionismo, la mayor amenaza para el proceso de transición ecológica",https://elpais.com/clima-y-medio-ambiente/2021-07-30/el-neonegacionismo-la-mayor-amenaza-para-el-proceso-de-transicion-ecologica.html
